role,analytic_name,domain,raw_NHANES_variables,units,coding_or_formula,cycle_harmonization,sample_or_weight_requirement,missing_handling,notes
predictor,egfr,renal,LBXSCR; RIDAGEYR; RIAGENDR,mL/min/1.73 m2,"142*min(Scr/k,1)^alpha*max(Scr/k,1)^-1.2*0.9938^age*(1.012 if female)",2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,"Require Scr>0, age non-missing, sex non-missing; no race coefficient."
predictor,log2_uacr,renal,URDACT or URXUMA and URXUCR,per doubling of mg/g,log2(UACR),2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,Allowed only because audited valid UACR values are >0.
predictor,tyg_wc,metabolic,LBXTR or LBXTLG; LBXGLU; BMXWAIST,index-cm,ln[TG*glucose/2] * waist(cm),2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,fasting subsample; combined_fasting_weight,training-fold median,Fasting-core sample; no outcome-driven cutoff selection.
predictor,siri,inflammatory,neutrophil; monocyte; lymphocyte absolute counts or WBC percentages,derived hematologic index,neutrophil_abs * monocyte_abs / lymphocyte_abs,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,"Require lymphocyte_abs>0; use absolute counts; if absolute count missing, derive from WBC and percentages only as documented."
outcome component,congestive_heart_failure,self-reported prevalent CVD,MCQ160B,binary,"NHANES yes=1, no=2; special missing codes excluded",2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,observed component response,special responses treated as missing,Use for prevalent self-reported CVD outcome if coding verified in Stage 2
outcome component,coronary_heart_disease,self-reported prevalent CVD,MCQ160C,binary,"NHANES yes=1, no=2; special missing codes excluded",2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,observed component response,special responses treated as missing,Use for prevalent self-reported CVD outcome if coding verified in Stage 2
outcome component,angina,self-reported prevalent CVD,MCQ160D,binary,"NHANES yes=1, no=2; special missing codes excluded",2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,observed component response,special responses treated as missing,Use for prevalent self-reported CVD outcome if coding verified in Stage 2
outcome component,heart_attack_or_myocardial_infarction,self-reported prevalent CVD,MCQ160E,binary,"NHANES yes=1, no=2; special missing codes excluded",2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,observed component response,special responses treated as missing,Use for prevalent self-reported CVD outcome if coding verified in Stage 2
outcome component,stroke,self-reported prevalent CVD,MCQ160F,binary,"NHANES yes=1, no=2; special missing codes excluded",2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,observed component response,special responses treated as missing,Use for prevalent self-reported CVD outcome if coding verified in Stage 2
composite outcome,cvd,self-reported prevalent CVD,MCQ160B; MCQ160C; MCQ160D; MCQ160E; MCQ160F,binary,1 if any observed component is positive; 0 if no observed component is positive and at least one component is observed; missing if all five are missing,same five questions in every included cycle,adult nonpregnant analytic population,strict sensitivity required all five components observed for classification as a noncase,Outcome components were excluded from every predictor set.
survey design,combined_mec_weight,survey design,WTMEC2YR,weight,cycle-specific MEC weights divided by number of pooled cycles within period,available in every included cycle,MEC or fasting domain as specified,invalid or nonpositive analysis weights excluded; valid strata and PSU required,Rao-Wu rescaled bootstrap respected cycle-specific strata and PSUs.
survey design,combined_fasting_weight,survey design,WTSAF2YR,weight,cycle-specific fasting-subsample weights divided by number of pooled cycles within period,available in every included cycle,MEC or fasting domain as specified,invalid or nonpositive analysis weights excluded; valid strata and PSU required,Rao-Wu rescaled bootstrap respected cycle-specific strata and PSUs.
survey design,strata,survey design,SDMVSTRA,identifier,masked variance stratum; cycle included in the design key,available in every included cycle,MEC or fasting domain as specified,invalid or nonpositive analysis weights excluded; valid strata and PSU required,Rao-Wu rescaled bootstrap respected cycle-specific strata and PSUs.
survey design,psu,survey design,SDMVPSU,identifier,masked variance PSU; cycle included in the design key,available in every included cycle,MEC or fasting domain as specified,invalid or nonpositive analysis weights excluded; valid strata and PSU required,Rao-Wu rescaled bootstrap respected cycle-specific strata and PSUs.
